Título,TIIE a 182 días,"TIIE de Fondeo a Un Día Hábil Bancario, Mediana ponderada por volumen","Tasa de fondeo bancario, Mediana ponderada por volumen, Tasa de interés en por ciento anual","Tasa de fondeo gubernamental, Mediana ponderada por volumen, Tasa de interés en por ciento anual","TIIE a 28 días, Tasa de interés en por ciento anual","Tasas de interés interbancarias Por ciento anual, TIIE a 91 días",Tasa objetivo
23/03/95,N/E,N/E,N/E,N/E,90.5,N/E,N/E
24/03/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
27/03/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
28/03/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
29/03/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
30/03/95,N/E,N/E,N/E,N/E,88.465,N/E,N/E
31/03/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
03/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
04/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
05/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
06/04/95,N/E,N/E,N/E,N/E,88.6,N/E,N/E
07/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/04/95,N/E,N/E,N/E,N/E,88.6944,N/E,N/E
17/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
18/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
19/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
20/04/95,N/E,N/E,N/E,N/E,88.7071,N/E,N/E
21/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
24/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
25/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
26/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
27/04/95,N/E,N/E,N/E,N/E,74.88,N/E,N/E
28/04/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
02/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
03/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
04/05/95,N/E,N/E,N/E,N/E,69.595,N/E,N/E
08/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
09/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/05/95,N/E,N/E,N/E,N/E,62.255,N/E,N/E
12/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
15/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
16/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
17/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
18/05/95,N/E,N/E,N/E,N/E,58.345,N/E,N/E
19/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
22/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
23/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
24/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
25/05/95,N/E,N/E,N/E,N/E,51.59,N/E,N/E
26/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
29/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
30/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
31/05/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/06/95,N/E,N/E,N/E,N/E,53.745,N/E,N/E
02/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
05/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
06/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
07/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
08/06/95,N/E,N/E,N/E,N/E,53.575,N/E,N/E
09/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
13/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
14/06/95,N/E,N/E,N/E,N/E,N/E,N/E,N/E
15/06/95,N/E,N/E,N/E,N/E,49.025,N/E,N/E
